article,average_view
Coronavirus,93568.84699453552
COVID-19_pandemic,63947.01016949153
Coronavirus_disease_2019,60220.02160493827
COVID-19_pandemic_by_country_and_territory,44103.561983471074
"Charles,_Prince_of_Wales",35170.15573770492
Killing_of_George_Floyd,27837.813636363637
COVID-19_pandemic_in_the_United_States,23233.355172413794
Anthony_Fauci,22756.77049180328
COVID-19_pandemic_in_India,19207.075862068967
Severe_acute_respiratory_syndrome_coronavirus_2,18251.707692307693
